,obsHistID,filter,expMJD,fieldID,fieldRA,fieldDec,fiveSigmaDepth
466,1397549,y,61625.091345,1000,5.718053,-0.674641,21.647375
467,1398512,y,61626.073588,1000,5.718053,-0.674641,21.697048
468,1398559,r,61626.097344,1000,5.718053,-0.674641,24.176694
469,1398590,r,61626.111439,1000,5.718053,-0.674641,24.245091
470,1405289,i,61649.005553,1000,5.718053,-0.674641,23.277119
471,1405318,i,61649.018672,1000,5.718053,-0.674641,23.351018
472,1407125,r,61650.996712,1000,5.718053,-0.674641,23.805711
473,1407170,r,61651.017017,1000,5.718053,-0.674641,23.926071
474,1414081,z,61672.988227,1000,5.718053,-0.674641,21.931576
475,1414111,z,61673.001677,1000,5.718053,-0.674641,23.100146
476,1416255,z,61677.985866,1000,5.718053,-0.674641,21.975164
477,1416294,z,61678.003462,1000,5.718053,-0.674641,23.162541
478,1416299,i,61678.007058,1000,5.718053,-0.674641,23.699566
479,1416337,i,61678.024222,1000,5.718053,-0.674641,23.736924
480,1417913,z,61679.988093,1000,5.718053,-0.674641,22.260292
481,1417951,z,61680.005205,1000,5.718053,-0.674641,23.460757
482,1423024,z,61685.998463,1000,5.718053,-0.674641,22.043981
483,1423058,z,61686.013922,1000,5.718053,-0.674641,22.69455
484,1426434,z,61690.033661,1000,5.718053,-0.674641,22.27193
485,1426485,z,61690.057432,1000,5.718053,-0.674641,22.272972
486,1427132,y,61691.08804,1000,5.718053,-0.674641,21.360623
487,1427152,y,61691.097301,1000,5.718053,-0.674641,21.350959
488,1430509,i,61695.091582,1000,5.718053,-0.674641,23.142755
489,1441189,r,61711.066994,1000,5.718053,-0.674641,24.049146
490,1441224,r,61711.083133,1000,5.718053,-0.674641,24.009234
491,1441987,r,61712.085383,1000,5.718053,-0.674641,23.782112
492,1442040,r,61712.111664,1000,5.718053,-0.674641,23.698612
493,1443044,y,61721.061328,1000,5.718053,-0.674641,21.358831
494,1447618,i,61727.091899,1000,5.718053,-0.674641,23.235302
495,1447648,i,61727.106795,1000,5.718053,-0.674641,22.809168
496,1452622,u,61735.076885,1000,5.718053,-0.674641,22.677821
497,1456816,r,61741.070268,1000,5.718053,-0.674641,23.842119
498,1460210,i,61746.059087,1000,5.718053,-0.674641,22.871705
499,1562526,i,61885.399512,1000,5.718053,-0.674641,23.424869
500,1562559,y,61885.41623,1000,5.718053,-0.674641,21.371887
501,1562577,y,61885.424286,1000,5.718053,-0.674641,21.394084
502,1563862,g,61887.359551,1000,5.718053,-0.674641,24.350955
